00-C0-4C	& TRADE|AU|
00-56-CD	1 Infinite Loop|Cupertino CA 95014|US|
00-5B-94	1 Infinite Loop|Cupertino CA 95014|US|
00-60-66	1 ere Avenue, 11 eme rue|06516 CARROS|FR|
00-60-75	1 PARK WAY|UPPER SADDLE RIVER NJ 07458|US|
00-61-71	1 Infinite Loop|Cupertino CA 95014|US|
00-6D-52	1 Infinite Loop|Cupertino CA 95014|US|
00-88-65	1 Infinite Loop|Cupertino CA 95014|US|
00-90-7D	1 Westbrook, Milton Road|IE|
00-A0-40	1 Infinite Loop|Cupertino CA 95014|US|
00-AD-24	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
00-B0-CE	1 rue Traversiere BP 20327|Rungis Cedex 94598|FR|
00-B3-62	1 Infinite Loop|Cupertino CA 95014|US|
00-C0-97	1 RUE DU BULLOZ|FR|
00-C0-AD	1 RUE DU BOIS CHALAND|FR|
00-C6-10	1 Infinite Loop|Cupertino CA 95014|US|
00-CD-FE	1 Infinite Loop|Cupertino CA 95014|US|
00-D0-D9	1 Thellow Heath Park|Northwich CW9 6JB|GB|
00-D0-E1	1 ETGAR STREET|IL|
00-DB-70	1 Infinite Loop|Cupertino CA 95014|US|
00-F4-B9	1 Infinite Loop|Cupertino CA 95014|US|
00-F7-6F	1 Infinite Loop|Cupertino CA 95014|US|
04-0C-CE	1 Infinite Loop|Cupertino CA 95014|US|
04-15-52	1 Infinite Loop|Cupertino CA 95014|US|
04-1A-04	1 Sky street|Misgav 20179|IL|
04-1E-64	1 Infinite Loop|Cupertino CA 95014|US|
04-26-65	1 Infinite Loop|Cupertino CA 95014|US|
04-48-9A	1 Infinite Loop|Cupertino CA 95014|US|
04-4B-ED	1 Infinite Loop|Cupertino CA 95014|US|
04-52-F3	1 Infinite Loop|Cupertino CA 95014|US|
04-54-53	1 Infinite Loop|Cupertino CA 95014|US|
04-69-F8	1 Infinite Loop|Cupertino CA 95014|US|
04-D3-CF	1 Infinite Loop|Cupertino CA 95014|US|
04-DB-56	1 Infinite Loop|Cupertino CA 95014|US|
04-E5-36	1 Infinite Loop|Cupertino CA 95014|US|
04-F1-3E	1 Infinite Loop|Cupertino CA 95014|US|
04-F7-E4	1 Infinite Loop|Cupertino CA 95014|US|
08-00-07	1 Infinite Loop|Cupertino CA 95014|US|
08-66-98	1 Infinite Loop|Cupertino CA 95014|US|
08-6D-41	1 Infinite Loop|Cupertino CA 95014|US|
08-70-45	1 Infinite Loop|Cupertino CA 95014|US|
08-74-02	1 Infinite Loop|Cupertino CA 95014|US|
08-8F-2C	1 Clyde Street|Silverwater New South Wales 2128|AU|
08-E6-89	1 Infinite Loop|Cupertino CA 95014|US|
08-F4-AB	1 Infinite Loop|Cupertino CA 95014|US|
08-F6-9C	1 Infinite Loop|Cupertino CA 95014|US|
0C-15-39	1 Infinite Loop|Cupertino CA 95014|US|
0C-30-21	1 Infinite Loop|Cupertino CA 95014|US|
0C-3E-9F	1 Infinite Loop|Cupertino CA 95014|US|
0C-41-3E	1 Microsoft Way|Redmond Washington 98052|FI|
0C-4D-E9	1 Infinite Loop|Cupertino CA 95014|US|
0C-51-01	1 Infinite Loop|Cupertino CA 95014|US|
0C-74-C2	1 Infinite Loop|Cupertino CA 95014|US|
0C-77-1A	1 Infinite Loop|Cupertino CA 95014|US|
0C-B6-D2	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
0C-BC-9F	1 Infinite Loop|Cupertino CA 95014|US|
0C-D7-46	1 Infinite Loop|Cupertino CA 95014|US|
0C-E7-25	1 Microsoft Way|Redmond Washington 98052|FI|
10-1C-0C	1 Infinite Loop|Cupertino CA 95014|US|
10-2F-6B	1 Microsoft Way|Redmond Washington 98052|FI|
10-30-25	1 Infinite Loop|Cupertino CA 95014|US|
10-40-F3	1 Infinite Loop|Cupertino CA 95014|US|
10-41-7F	1 Infinite Loop|Cupertino CA 95014|US|
10-62-EB	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
10-93-E9	1 Infinite Loop|Cupertino CA 95014|US|
10-94-BB	1 Infinite Loop|Cupertino CA 95014|US|
10-9A-DD	1 Infinite Loop|Cupertino CA 95014|US|
10-BE-F5	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
10-DD-B1	1 Infinite Loop|Cupertino CA 95014|US|
10-F1-63	1 Kasugayama.Iitoyo|Tenei-village.Iwase-country Fukushima-prefecture 962-0512|JP|
14-10-9F	1 Infinite Loop|Cupertino CA 95014|US|
14-20-5E	1 Infinite Loop|Cupertino CA 95014|US|
14-5A-05	1 Infinite Loop|Cupertino CA 95014|US|
14-60-CB	1 Infinite Loop|Cupertino CA 95014|US|
14-8F-C6	1 Infinite Loop|Cupertino CA 95014|US|
14-95-CE	1 Infinite Loop|Cupertino CA 95014|US|
14-99-E2	1 Infinite Loop|Cupertino CA 95014|US|
14-9A-10	1 Microsoft Way|Redmond Washington 98052|FI|
14-9D-99	1 Infinite Loop|Cupertino CA 95014|US|
14-BD-61	1 Infinite Loop|Cupertino CA 95014|US|
14-C2-13	1 Infinite Loop|Cupertino CA 95014|US|
14-D0-0D	1 Infinite Loop|Cupertino CA 95014|US|
14-D6-4D	1 INTERNATIONAL BUSINESS PARK|SINGAPORE 609917|SG|
18-0F-76	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
18-20-32	1 Infinite Loop|Cupertino CA 95014|US|
18-34-51	1 Infinite Loop|Cupertino CA 95014|US|
18-4C-08	1 Allen-Bradley Dr.|Mayfield Heights OH 44124-6118|US|
18-55-E3	1 Infinite Loop|Cupertino CA 95014|US|
18-65-90	1 Infinite Loop|Cupertino CA 95014|US|
18-81-0E	1 Infinite Loop|Cupertino CA 95014|US|
18-9E-FC	1 Infinite Loop|Cupertino CA 95014|US|
18-AF-61	1 Infinite Loop|Cupertino CA 95014|US|
18-AF-8F	1 Infinite Loop|Cupertino CA 95014|US|
18-E7-F4	1 Infinite Loop|Cupertino CA 95014|US|
18-EE-69	1 Infinite Loop|Cupertino CA 95014|US|
18-F1-D8	1 Infinite Loop|Cupertino CA 95014|US|
18-F6-43	1 Infinite Loop|Cupertino CA 95014|US|
18-F6-50	1 Matheson Street, Shell Tower 29F/12|000000|HK|
1C-1A-C0	1 Infinite Loop|Cupertino CA 95014|US|
1C-36-BB	1 Infinite Loop|Cupertino CA 95014|US|
1C-5C-F2	1 Infinite Loop|Cupertino CA 95014|US|
1C-5F-2B	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
1C-7E-E5	1 International Business Park, #03-12, The Synergy|SINGAPORE 609917|SG|
1C-91-48	1 Infinite Loop|Cupertino CA 95014|US|
1C-9E-46	1 Infinite Loop|Cupertino CA 95014|US|
1C-AB-A7	1 Infinite Loop|Cupertino CA 95014|US|
1C-AF-F7	1 INTERNATIONAL BUSINESS PARK,|SINGAPORE 609917|SG|
1C-BD-B9	1 INTERNATIONAL BUSINESS PARK,|SINGAPORE 609917|SG|
1C-E6-2B	1 Infinite Loop|Cupertino CA 95014|US|
20-01-4F	1 Marquis Business Centre|Baldock Hertfordshire SG7 6XL|GB|
20-3C-AE	1 Infinite Loop|Cupertino CA 95014|US|
20-62-74	1 Microsoft Way|Redmond Washington 98052|FI|
20-76-8F	1 Infinite Loop|Cupertino CA 95014|US|
20-78-F0	1 Infinite Loop|Cupertino CA 95014|US|
20-7D-74	1 Infinite Loop|Cupertino CA 95014|US|
20-9B-CD	1 Infinite Loop|Cupertino CA 95014|US|
20-A2-E4	1 Infinite Loop|Cupertino CA 95014|US|
20-A9-9B	1 Microsoft Way|Redmond Washington 98052|FI|
20-AB-37	1 Infinite Loop|Cupertino CA 95014|US|
20-C9-D0	1 Infinite Loop|Cupertino CA 95014|US|
20-EE-28	1 Infinite Loop|Cupertino CA 95014|US|
24-1B-7A	1 Infinite Loop|Cupertino CA 95014|US|
24-1E-EB	1 Infinite Loop|Cupertino CA 95014|US|
24-24-0E	1 Infinite Loop|Cupertino CA 95014|US|
24-5B-A7	1 Infinite Loop|Cupertino CA 95014|US|
24-6A-AB	1 Wainstones Court|Middlesbrough Cleveland TS9 5JY|GB|
24-A0-74	1 Infinite Loop|Cupertino CA 95014|US|
24-A2-E1	1 Infinite Loop|Cupertino CA 95014|US|
24-AB-81	1 Infinite Loop|Cupertino CA 95014|US|
24-E3-14	1 Infinite Loop|Cupertino CA 95014|US|
24-F0-94	1 Infinite Loop|Cupertino CA 95014|US|
24-F6-77	1 Infinite Loop|Cupertino CA 95014|US|
28-0B-5C	1 Infinite Loop|Cupertino CA 95014|US|
28-10-7B	1 International Business Park, #03-12, The Synergy|SINGAPORE 609917|SG|
28-37-37	1 Infinite Loop|Cupertino CA 95014|US|
28-3B-82	1 Internal Business Park, #03-12,The Synergy, Singapore|Singapore Singapore 609917|SG|
28-5A-EB	1 Infinite Loop|Cupertino CA 95014|US|
28-6A-B8	1 Infinite Loop|Cupertino CA 95014|US|
28-6A-BA	1 Infinite Loop|Cupertino CA 95014|US|
28-A0-2B	1 Infinite Loop|Cupertino CA 95014|US|
28-CF-DA	1 Infinite Loop|Cupertino CA 95014|US|
28-CF-E9	1 Infinite Loop|Cupertino CA 95014|US|
28-E0-2C	1 Infinite Loop|Cupertino CA 95014|US|
28-E1-4C	1 Infinite Loop|Cupertino CA 95014|US|
28-E7-CF	1 Infinite Loop|Cupertino CA 95014|US|
28-ED-6A	1 Infinite Loop|Cupertino CA 95014|US|
28-F0-76	1 Infinite Loop|Cupertino CA 95014|US|
28-FF-3C	1 Infinite Loop|Cupertino CA 95014|US|
2C-1F-23	1 Infinite Loop|Cupertino CA 95014|US|
2C-20-0B	1 Infinite Loop|Cupertino CA 95014|US|
2C-26-17	1 Hacker Way|Menlo Park CA 94025|US|
2C-29-97	1 Microsoft Way|Redmond Washington 98052|FI|
2C-33-61	1 Infinite Loop|Cupertino CA 95014|US|
2C-61-F6	1 Infinite Loop|Cupertino CA 95014|US|
2C-62-89	1 James Watt Avenue|Glenrothes Fife KY7 4UA|GB|
2C-B4-3A	1 Infinite Loop|Cupertino CA 95014|US|
2C-BE-08	1 Infinite Loop|Cupertino CA 95014|US|
2C-F0-A2	1 Infinite Loop|Cupertino CA 95014|US|
2C-F0-EE	1 Infinite Loop|Cupertino CA 95014|US|
30-10-E4	1 Infinite Loop|Cupertino CA 95014|US|
30-35-AD	1 Infinite Loop|Cupertino CA 95014|US|
30-57-14	1 Infinite Loop|Cupertino CA 95014|US|
30-59-B7	1 Microsoft Way|Redmond Washington 98052|US|
30-63-6B	1 Infinite Loop|Cupertino CA 95014|US|
30-90-AB	1 Infinite Loop|Cupertino CA 95014|US|
30-AE-F6	1 Elm Sq|Andover MA 01870|US|
